epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3611.65,0.51149,2.34658,1.05348,0.78771,0.88902,0.85176,0.82246,0.30864,0.60894,0.95305,0.00333277,0.00333277,0.00333277
2,7178.51,0.45262,1.15706,0.98791,0.81105,0.95885,0.86414,0.84434,0.26423,0.4361,0.92058,0.00640213,0.00640213,0.00640213
3,10729.4,0.46243,1.12396,0.99141,0.82014,0.96751,0.86788,0.84917,0.25522,0.40914,0.91245,0.00920748,0.00920748,0.00920748
4,14274,0.43484,1.04927,0.97868,0.83897,0.97808,0.87123,0.8563,0.23219,0.3594,0.89685,0.008812,0.008812,0.008812
5,17817.8,0.39007,0.93168,0.95767,0.84317,0.98312,0.87462,0.86211,0.21832,0.32852,0.88847,0.008416,0.008416,0.008416
6,21363.1,0.36396,0.86757,0.9458,0.84547,0.98396,0.87678,0.86654,0.2045,0.31333,0.88089,0.00802,0.00802,0.00802
7,24907.9,0.34705,0.83291,0.93779,0.84818,0.98748,0.87699,0.86724,0.20004,0.30634,0.87815,0.007624,0.007624,0.007624
8,28452.3,0.3322,0.79799,0.9312,0.84883,0.98804,0.87879,0.8699,0.19451,0.29955,0.87526,0.007228,0.007228,0.007228
9,3852.28,0.32529,0.78171,0.92824,0.84971,0.98918,0.87735,0.86906,0.19227,0.29623,0.87406,0.006832,0.006832,0.006832
10,7702.69,0.31746,0.76984,0.92559,0.85081,0.98991,0.87841,0.87044,0.19,0.29362,0.8728,0.006436,0.006436,0.006436
11,11550.5,0.3101,0.75499,0.92225,0.85151,0.98978,0.87988,0.87226,0.18788,0.29078,0.87168,0.00604,0.00604,0.00604
12,15398.5,0.30107,0.73573,0.91882,0.85303,0.99032,0.88134,0.87395,0.18613,0.28803,0.87069,0.005644,0.005644,0.005644
13,19249.3,0.29355,0.71519,0.91584,0.85348,0.99077,0.88291,0.87576,0.18468,0.28524,0.86991,0.005248,0.005248,0.005248
14,23099.6,0.28547,0.69196,0.91275,0.85499,0.99051,0.8874,0.88047,0.18302,0.2825,0.86901,0.004852,0.004852,0.004852
15,26950.3,0.27996,0.67923,0.91022,0.85771,0.9895,0.89416,0.88744,0.18139,0.27948,0.86807,0.004456,0.004456,0.004456
16,30791,0.21808,0.31452,0.84651,0.86108,0.98953,0.90129,0.89467,0.17958,0.27437,0.86724,0.00406,0.00406,0.00406
